id,text,true_label,category,language,severity_if_crisis,notes
NC008,My lab report is due in two days and I haven't even started. I'm panicking but I'll figure it out.,non-crisis,academic_stress,english,,Procrastination stress with coping
NC009,"I've been feeling really sad lately. I don't know why, but I'm just not myself. Maybe I need to talk to someone.",non-crisis,emotional_distress,english,,Sadness with help-seeking intent
NC010,I feel lonely. All my friends are busy and I don't have anyone to talk to right now. It's hard.,non-crisis,emotional_distress,english,,Loneliness without crisis
NC011,I'm worried about my future. I don't know what I'm going to do after graduation. Everything feels uncertain.,non-crisis,emotional_distress,english,,Future anxiety
NC012,"I've been crying a lot lately. Everything just feels too much, but I know I'll get through this.",non-crisis,emotional_distress,english,,Emotional overwhelm with resilience
NC013,My family is going through a hard time and it's affecting me. I wish I could help them more.,non-crisis,emotional_distress,english,,"Family concern, empathetic distress"
NC014,My boyfriend broke up with me and I'm devastated. I don't know how to move on from this.,non-crisis,relationship_issues,english,,Breakup distress without crisis
NC015,I had a big fight with my best friend. I'm so upset and I don't know if we can fix this.,non-crisis,relationship_issues,english,,Friendship conflict
NC016,I feel like nobody understands me. My friends are all moving on with their lives and I'm stuck.,non-crisis,relationship_issues,english,,"Social comparison, feeling left behind"
NC017,I'm having trouble connecting with people. I want to make friends but I don't know how to start.,non-crisis,relationship_issues,english,,Social skills concern
NC018,Aku stres banget sama ujian akhir. Banyak banget yang harus dipelajari dan waktunya mepet.,non-crisis,academic_stress,indonesian,,'I am very stressed about final exams. So much to study and time is tight.'
NC019,Skripsi ku rasanya nggak ada habisnya. Dosen pembimbing terus minta revisi. Capek banget.,non-crisis,academic_stress,indonesian,,'My thesis feels endless. My advisor keeps asking for revisions. So tired.'
NC020,"Aku sedih karena putus sama pacar. Rasanya hancur, tapi aku tahu aku akan baik-baik saja.",non-crisis,relationship_issues,indonesian,,"'I am sad because I broke up with my partner. It feels broken, but I know I will be okay.'"
NC021,Aku merasa kesepian. Semua teman sibuk dan aku nggak punya orang untuk ngobrol.,non-crisis,emotional_distress,indonesian,,'I feel lonely. All friends are busy and I have no one to talk to.'
NC022,Aku khawatir sama masa depan. Belum tau mau kerja dimana setelah lulus nanti.,non-crisis,emotional_distress,indonesian,,'I am worried about the future. Don't know where to work after graduation.'
NC023,"Hi, I just want to talk about managing my time better. Do you have any tips for staying organized?",non-crisis,general_inquiry,english,,Neutral request for productivity advice
NC024,I've been feeling better lately. I tried some of the coping strategies you suggested and they're helping.,non-crisis,positive_update,english,,Positive progress report
NC025,"Hello, can you help me understand how to deal with stress in healthy ways? I want to improve my mental health.",non-crisis,general_inquiry,english,,Proactive mental health inquiry
